Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 6,Male,Longue Vue Club,Qualifying,14,4,4,Hit,Hit,101-125 yards,2,1.443,-0.5569999999999999,7
Player 6,Male,San Destin Resort - Raven,Tournament,16,3,3,Not Applicable (PAR 3),Miss,151-175 yards,1,1.443,0.44300000000000006,7
Player 16,Female,Indiana Country Club,Qualifying,4,4,3,Hit,Hit,126-150 yards,1,1.515,0.5149999999999999,8
Player 6,Male,Longue Vue Club,Qualifying,3,3,5,Not Applicable (PAR 3),Miss,176-200 yards,2,1.515,-0.4850000000000001,8
Player 6,Male,Longue Vue Club,Qualifying,13,4,4,Hit,Hit,51-75 yards,2,1.515,-0.4850000000000001,8
Player 8,Male,Pittsburgh Field Club,Qualifying,10,4,5,Missed,Miss,101-125 yards,2,1.515,-0.4850000000000001,8
Player 1,Male,Indiana Country Club,Qualifying,9,4,4,Missed,Hit,Less than 50 yards,2,1.515,-0.4850000000000001,8
Player 5,Male,Longue Vue Club,Qualifying,8,5,4,Hit,Hit,Less than 50 yards,1,1.515,0.5149999999999999,8
Player 6,Male,Longue Vue Club,Qualifying,7,4,6,Missed,Miss,76-100 yards,2,1.515,-0.4850000000000001,8
Player 6,Male,Avalon Lakes Golf Club,Qualifying,10,4,4,Hit,Hit,51-75 yards,2,1.515,-0.4850000000000001,8
Player 11,Male,Avalon Lakes Golf Club,Qualifying,4,3,3,Not Applicable (PAR 3),Hit,151-175 yards,2,1.515,-0.4850000000000001,8
Player 1,Male,Nemacolin Resort - Shepards Rock,Qualifying,5,3,3,Not Applicable (PAR 3),Miss,176-200 yards,1,1.515,0.5149999999999999,8
Player 13,Male,Longue Vue Club,Qualifying,17,4,3,Hit,Hit,101-125 yards,1,1.515,0.5149999999999999,8
Player 13,Male,Longue Vue Club,Qualifying,10,3,2,Not Applicable (PAR 3),Hit,126-150 yards,1,1.515,0.5149999999999999,8
Player 8,Male,PGA National - Champions,Tournament,4,4,5,Missed,Miss,225 + yards,2,1.515,-0.4850000000000001,8
Player 6,Male,Avalon Lakes Golf Club,Qualifying,7,4,5,Hit,Miss,126-150 yards,2,1.515,-0.4850000000000001,8
Player 4,Male,San Destin Resort - Raven,Tournament,14,4,6,Missed,Miss,101-125 yards,2,1.515,-0.4850000000000001,8
Player 1,Male,Longue Vue Club,Qualifying,13,4,5,Missed,Miss,76-100 yards,2,1.515,-0.4850000000000001,8
Player 14,Male,Longue Vue Club,Qualifying,3,3,3,Not Applicable (PAR 3),Miss,176-200 yards,1,1.515,0.5149999999999999,8
Player 1,Male,Longue Vue Club,Qualifying,13,4,4,Hit,Hit,101-125 yards,2,1.515,-0.4850000000000001,8
Player 3,Male,Columbus Country Club,Tournament,15,5,4,Hit,Hit,51-75 yards,1,1.515,0.5149999999999999,8
Player 13,Male,Longue Vue Club,Qualifying,4,5,6,Missed,Miss,101-125 yards,2,1.515,-0.4850000000000001,8
Player 15,Female,Nemacolin Resort - Shepards Rock,Qualifying,13,5,5,Missed,Miss,51-75 yards,1,1.515,0.5149999999999999,8
Player 6,Male,Columbus Country Club,Tournament,6,4,5,Missed,Miss,176-200 yards,2,1.515,-0.4850000000000001,8
Player 8,Male,Avalon Lakes Golf Club,Qualifying,16,3,4,Not Applicable (PAR 3),Miss,201-225 yards,2,1.515,-0.4850000000000001,8
Player 10,Male,Pittsburgh Field Club,Qualifying,16,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,1.515,-0.4850000000000001,8
Player 10,Male,PGA National - Champions,Tournament,12,4,4,Hit,Hit,151-175 yards,2,1.515,-0.4850000000000001,8
Player 21,Female,PGA National - Palmer,Tournament,15,4,6,Hit,Miss,151-175 yards,2,1.515,-0.4850000000000001,8
Player 11,Male,Indiana Country Club,Qualifying,13,4,4,Missed,Hit,101-125 yards,2,1.515,-0.4850000000000001,8
Player 8,Male,Longue Vue Club,Qualifying,11,4,5,Missed,Miss,151-175 yards,1,1.515,0.5149999999999999,8
Player 12,Male,Meadville Country Club,Tournament,13,3,2,Not Applicable (PAR 3),Hit,126-150 yards,1,1.515,0.5149999999999999,8
Player 20,Female,Meadville Country Club,Tournament,8,3,4,Not Applicable (PAR 3),Miss,151-175 yards,2,1.515,-0.4850000000000001,8
Player 1,Male,Indiana Country Club,Qualifying,18,5,5,Missed,Hit,76-100 yards,2,1.515,-0.4850000000000001,8
Player 18,Female,Longue Vue Club,Qualifying,8,5,5,Hit,Hit,Less than 50 yards,2,1.515,-0.4850000000000001,8
Player 21,Female,San Destin Resort - Baytowne,Tournament,1,4,4,Hit,Miss,126-150 yards,1,1.515,0.5149999999999999,8
Player 5,Male,Longue Vue Club,Qualifying,2,4,4,Hit,Hit,101-125 yards,2,1.515,-0.4850000000000001,8
Player 11,Male,Longue Vue Club,Qualifying,13,4,4,Missed,Hit,76-100 yards,2,1.515,-0.4850000000000001,8
Player 21,Female,San Destin Resort - Baytowne,Tournament,7,3,3,Not Applicable (PAR 3),Miss,126-150 yards,1,1.515,0.5149999999999999,8
Player 10,Male,Avalon Lakes Golf Club,Qualifying,2,4,5,Missed,Miss,126-150 yards,2,1.515,-0.4850000000000001,8
Player 13,Male,Longue Vue Club,Qualifying,11,4,5,Missed,Miss,151-175 yards,2,1.515,-0.4850000000000001,8
Player 3,Male,Wigwam Gold Course,Tournament,15,4,3,Hit,Hit,101-125 yards,1,1.515,0.5149999999999999,8
Player 12,Male,Meadville Country Club,Tournament,1,5,4,Hit,Hit,Less than 50 yards,1,1.515,0.5149999999999999,8
Player 6,Male,Longue Vue Club,Qualifying,17,4,4,Missed,Hit,126-150 yards,2,1.515,-0.4850000000000001,8
Player 4,Male,Avalon Lakes Golf Club,Qualifying,15,4,3,Hit,Hit,101-125 yards,1,1.515,0.5149999999999999,8
Player 1,Male,Longue Vue Club,Qualifying,7,4,5,Missed,Miss,Less than 50 yards,2,1.515,-0.4850000000000001,8
Player 12,Male,Nemacolin Resort - Shepards Rock,Qualifying,9,5,6,Hit,Miss,76-100 yards,2,1.515,-0.4850000000000001,8
Player 4,Male,Nemacolin Resort - Shepards Rock,Qualifying,1,5,5,Hit,Hit,Less than 50 yards,2,1.515,-0.4850000000000001,8
